airline_sentiment,text
negative,@SouthwestAir is really gonna hear my mouth about this bag situation.
negative,@virginamerica What is your phone number. I can't find who to call about a flight reservation.
positive,@USAirways Thanks. It would be better from the gate agent at C14 in Charlotte boarding flight 1791.
positive,@JetBlue its always a pleasure ☺️
negative,@USAirways  #USAirways disappoints AGAIN! #Cancelled Flighted flights #Missed appointments #Promised refund is a lie
negative,"@united can't get anyone to deal with me in person. Cowardly customer service, I can't be looked in the eyes by anyone."
negative,"@AmericanAir is there something wrong with the website? no matter what flight I select, it says it's no longer available."
negative,"@SouthwestAir After multiple attempts, I was finally able to submit them Late Flight last night."
negative,@SouthwestAir broke the stroller my wife and baby gate checked. They told her it's not their problem. Calling the A List Preferred line now.
neutral,"@JetBlue unfortunately no, but hoping I can catch one sometime in the near future!"
negative,@JetBlue You mean take more of my time to write you a physical letter because the fraud department doesn't have email or telephones. Right?
negative,@AmericanAir Trip cut 7 hrs short due to flight change/massive layovers/ no peanuts or crackers/ asked for H2O and received about 2oz.
negative,@united Can you please follow for a Dm on a missing bag?
negative,@USAirways please secure the 'footrest' shelf' in business class on A330 airplanes!!! http://t.co/ZL4bVEXmcJ
positive,"@AmericanAir @maryella_green just received it, actually. Thank you!!!!!!!!!"
negative,@JetBlue @Amagrino will you cover the cost of my car service waiting time?!
negative,@AmericanAir Now you've Cancelled Flightled my flight. First a priority ticket bumped and now this. You're losing customers. People are furious.
negative,.@AmericanAir can you connect me to a person without having to wait 2+ hours on hold? I still haven't been able to resolve the problem.
negative,@USAirways They're all reservations numbers and none are in Hungary. And my phone not working here. You make it too difficult.
neutral,@SouthwestAir we checked in right at 24hr mark. Boarding C group with kids ages 6&amp;8 dnt want to be split. What sld we do?
negative,@JetBlue I'm on flight and no booze being served 30 min in... What gives? #lostrevenue #angryandsober #bachelorpartymishap
negative,"@AmericanAir @sweetmel If weather is bad, wouldn't your folks try extra hard to communicate...or load bags onto flight 1320...or...anything?"
negative,@AmericanAir 4369. about 4 flights all using same gate w/buses to the planes.  Awful boarding process. Hour and a half Late Flight
positive,@united the staff was rather efficient and got us solutions just freaked me out a little being in limbo in the air.
negative,"@united flight from vegas to houston Cancelled Flighted this morning ""due to operation"" what does this mean!???? Thank god I woke up early today!"
negative,"@USAirways #PHL why does it take an hour to offload bags, especially after taking 30+ min to get a jetway to get off plane after landing?"
negative,"@AmericanAir I'd like to apologize to the gate agent for flight AA76, I was not aware that zone 1 was after the nine other precious gems."
negative,"@AmericanAir 4hrs Late Flightr i get a call back, and immediately disconnected"
negative,@USAirways won't waive $200 fee due to #neptune. Can't use credit w/o paying fee. Couldnt get to destination to use their tic #waivethefee
negative,"Is it insulting that @USAirways @AmericanAir offer a ""non required $50 voucher as a goodwill offering..At least my bag can fly round trip"
negative,"@USAirways I can't even use my return flight home because the change fees you charge are too expensive, forcing me to purchase a new ticket."
negative,"@united I'm rebooked now, but the line was 300 people deep."
negative,@USAirways cust serv reps who are unable to change reservations in your system Check in unaware of Cancelled Flights that I got word on night before
negative,"@united just give up.  Your service is terrible.  If I wasn't forced to use United on certain routes, I never would."
negative,@SouthwestAir can I get any kind of update on the delayed flight from Boston to Houston at 7:30? Really need to be back home tonight!
neutral,"@SouthwestAir I was under the impression when there is an 8 hour delay in your flight because of equipment failure, compensation is offered?"
neutral,"@SouthwestAir Looks like 'On February 19, 2015, we will open our schedule for sale through October 30, 2015' - know what time that will be?"
negative,"@AmericanAir that would be appreciated. Just please don't send me to the same page with long form &amp; limited characters.
Direct email?"
neutral,@USAirways do you have an email??
negative,@united diverted and missed our connecting flight. Was just told that my bag is on it's way to MSY. If you only had people that cared
negative,@united need assistance. Line is out the door and travelling with 3 kids.
negative,"@united 100% I will put together a very serious email, with all the issues that arose on our vacation due to your staff I will post it here"
negative,"@AmericanAir  upon entering plane to 2 @USAirways stewardesses: ""can I have some water?"" ""no we don't do that. please take your seat"""
negative,"@JetBlue the amount of money I spent on hotels for a WEEK bc of flight Cancelled Flightlation, another flight doesn't make up for the money lost."
negative,@USAirways Flight 830 CLT to Phl. I was 1st on list.Someone else got spot. Rude employee in coach. Wouldt give ID. Said he was cute red head
neutral,@AmericanAir thanks. Bummer. Poor planning on my part. I assume the card in Passbook won't work either?
negative,@USAirways still crickets from customer service.
negative,"@united as a 1k, I'm always hoping for improvement."
negative,@AmericanAir this merger with @USAirways @usairwis a cluster of inefficiency and misinformation.  When is it going to be done?
positive,@SouthwestAir much respect!
positive,@SouthwestAir really easy for locals to get down to the strip. book.
negative,@USAirways Charlotte Staff needs prayer....disappointed in response to mishaps ......lotttttttt of pissed off people here!!!!
negative,"@SouthwestAir, on #unscheduled aircraft change, please have a better system in place, not worth the paid upgrade. #REFUND"
negative,@united From the air: Another missed cnxn 2day. ATC went on strike in Belize this AM. Now family &amp; I miss cnxn in EWR. Please see my DMs.
negative,@USAirways thanks for being so bad you make a two day train trip look appealing!!
negative,@united this is getting ridiculous. Now we're missing our connection.
negative,@united You really should clean the food and coffee stains off of the area around the seats when new passengers come aboard. Gross!
negative,@united Missing flight attendant = Delayed Flight. Prime example how 1 person impacts 100's of people. HNL -&gt; IAH (UA252) #wastedtime
negative,"@USAirways @AmericanAir call the number listed? sure! by next Friday, I should get a real live person on the line http://t.co/8TJUuM22dD"
negative,@AmericanAir change fee = same price of new ticket... Not logical
neutral,Stop this madness RT @JetBlue: Our fleet's on fleek. http://t.co/7x9uSbj2FV
positive,"@united ok, have sent u info via DM. I appreciate your help and consideration. 😊"
negative,@SouthwestAir Service rep didn't say I was dumb just had the tone of voice like I should have known about it.
negative,@usairways im trying to get my dads wheelchair and no one is answering at Dulles.we have tried to call back on.multiple times
negative,@usairways I've been on hold for approaching 2 hrs for an issue when I changed my ticket online. Frustrating.
positive,@united thank you
positive,@united thanks for the effort. I can get the earliest. Though I will make a complaint for a refund as I am losing one business day tomorrow
negative,"@USAirways lack of communication with other offices, the customer, &amp; yall never update ur systems. U guys are 2 established 4 this mess"
negative,@JetBlue as much i have paid in fees. Plus hotel and food because of your changes i could had flown with a more reliable airline #no2jetblue
neutral,"seriously, I want to work on the JetBlue social team RT @JetBlue: @vincenzolandino http://t.co/eiGaJyzcW2"
negative,@SouthwestAir right? We're delayed so I'm crabby. :) Also why do you allow one family member to purchase EarlyBird check in and hold rows?
negative,@united you guys suck!
positive,"@united Thank you but the person in Houston could only get me a flight routing through Newark, NJ and I'm going to SFO"
negative,@united lost bag in Huston we leave for a Bahamas cruise today from #nola and had to buy all new stuff. Customer service is non existent
